text,intent,noise_level,split,is_hard_negative
availability arctic frost winter accessories bundle,product_stock,medium,train,
halo omniheat men's solid kan hooded puffer jacket habis belum ?,product_stock,medium,train,
paket in stock,product_stock,low,train,
Price list bertudung-biru-hijau-l,product_price,low,train,
Min harga penuh berapa,product_price,clean,train,
brp jacket-blue-gree-m,product_price,high,train,
permisi kak orderan saya yang 99 kok belum dateng,order_status,medium,train,
karakteristik omniheat men's ssolid hooded jacket-blue-green-m puffer,product_description,high,train,
sis harga penuh yang ini berapa nih,product_price,clean,train,
cara pakai paket aksesori musim dingin arctic frost,product_description,low,train,
tentang Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-L,product_description,low,train,
Harganya omniheat brp,product_price,high,train,
barng rusak,out_of_scope,high,train,
bos admin pembayaran apa aja yang diterima thx,payment_info,medium,train,
Pembayaran via apa,payment_info,clean,train,
kiriman 1 dimana,order_status,clean,train,
min stok bertudung-biru-kuning-l masih ada,product_stock,low,train,
karakteristik omniheat men's solid hooded puffer jacket-blue-yellow-l,product_description,medium,train,
mba accessories per unit berapa makasih,product_price,low,train,
Penuh mahal ga,product_price,low,train,
warmth ready stock,product_stock,clean,train,
size L jacket-blue-yellow-l ready,product_stock,clean,train,
Kak scarf terbuat dari bahan apa ya,product_description,clean,train,
hooded awet ga,product_description,high,train,
test,out_of_scope,low,train,
Brg gw ord001 dmn,order_status,clean,train,
sis bisa kredit ga ??,payment_info,medium,train,
Halo mau bayar pake cash thx,payment_info,high,train,
mau tanya apakah Paket Aksesori Musim Dingin Arctic Frost masih tesredia stoknya,product_stock,medium,train,
Biaya pria,product_price,low,train,
pelayanan buruk,out_of_scope,clean,train,
Size chart bertudung,product_description,medium,train,
harga jual tangan,product_price,medium,train,
Brg 67890 dmn,order_status,clean,train,
Stylish tinggal berapa,product_stock,clean,train,
min jaket puffer pria deh omniheat solid bertudung-biru-uning-m in stck pls,product_stock,high,train,
Harga jaket puffer pria omniheat solid bertudung-biru-kuning-l berapa,product_price,low,train,
udah dikirim blm ORD123,order_status,clean,train,
Hi hai thx,out_of_scope,low,train,
Pkaet gue sdh sampai mana,order_status,high,train,
Cara refund gimana,out_of_scope,low,train,
stock available jaket,product_stock,medium,train,
permisi apakah stok men's masih tersedia,product_stock,clean,train,
tolong bantu cek order saya nomor 1 ya,order_status,low,train,
barang saya kapan sapai,order_status,high,train,
cek harga scarf,product_price,low,train,
hi penuh ready stock min,product_stock,high,train,
Estimasi pengiriman order #99,order_status,medium,train,
admin ready cozy deh,product_stock,medium,train,
Penjelasan arctic warmth wool blend socks,product_description,medium,train,
misi kiriman aku mana ya thanks,order_status,high,train,
kak aksesori harganya berapa ya,product_price,clean,train,
Sisa stok jacket-blue-green-l,product_stock,low,train,
terima va bca ga,payment_info,clean,train,
Stk pia,product_stock,medium,train,
