text,intent,noise_level
Spesifikai kupluk,product_description,high
kak boleh tau spesifikasi arctic touchscreen winter gloves tidak,product_description,low
Bos bayar ppake apa ??,payment_info,extreme
bayar pake apa sih,payment_info,high
N0mor telepon toko,out_of_scope,medium
Mau tau lebih detail tentang jacket,product_description,low
Bertudung-biru-hijau-m harganya berapa,product_price,low
Permisi apakah stok hadapi masih tersedia,product_stock,low
brg ord123 dmn,order_status,low
mba paket brp duit ya,product_price,high
Kamu bot ya,out_of_scope,medium
kak permisi kak utk pembayaran tersedia metode apa saja min,payment_info,medium
halo uang sy kapan dikembalikan pls,out_of_scope,medium
Bs cod g,payment_info,low
ada cicilan ga,payment_info,medium
mau tanya apakah bersama masih tersedia stoknya,product_stock,low
Info produk bertudung-biru-hijau-m,product_description,medium
mau kembalikan barang,out_of_scope,low
gan pseanan nomor 123 udah sampai mana pls,order_status,high
Bang omniheat men's solid hooded puffer jacket-blue-green-m berapa duit please,product_price,medium
roderan syaa gmn,order_status,medium
Admin metode pembayar@n apa aja tolong,payment_info,medium
Priec chill,product_price,medium
arctic bliss stylish winter scarf mahal ga,product_price,low
Admin opsi pembayaran thx,payment_info,medium
Kak boleh tau spesifikasi arctic bliss stylish winter scarf tidak ya,product_description,extreme
misi deskrpsi penh tolong,product_description,extreme
barang cacat,out_of_scope,high
dit beanie,product_price,medium
Pembayaran via apa,payment_info,low
lacak psnan 1,order_status,medium
permisi kak orderan saya yang 123 kok belum dateng,order_status,low
pesanan ord-001 udah sssampai mana,order_status,low
Terima virtual account tidak,payment_info,low
mas kak jacket-blue-green-m masih ada ga stoknya thanks,product_stock,medium
Sis lowongan ekraj ada ga min,out_of_scope,low
proses refund berapa lama,out_of_scope,low
coonnected rady?,product_stock,medium
kisaran harga kaus kaki campuran wol arctic warmth,product_price,medium
kok lama bgt order id 7788,order_status,low
hi batalkan order ??,out_of_scope,high
Unisex habis belum,product_stock,medium
range harga bersama,product_price,medium
bbiay4 pria,product_price,medium
hi ad stok kau5 g please,product_stock,high
mana nih orderan gw,order_status,high
Status pengiriman 99,order_status,low
gan info produk gaya,product_description,medium
permisi mau nanya harga untuk OmniHeat Men's Solid Hooded Puffer Jacket berapa ya,product_price,medium
Permisi order gue order-123 mana ya kak,order_status,high
sis mau cek status ppesanan,order_status,extreme
kak boleh tau spesifikasi arctic touchscreen winter gloves ga,product_description,medium
Omniheat men's solid hooded puffer jacket murah ga,product_price,low
cek psnan ord-001,order_status,medium
Barang rusak,out_of_scope,low
admin cuaca hari ini gimana thx,out_of_scope,low
Hai estimasi pengiriman order 67890 please,order_status,medium
Gan dmn psnan saya thanks,order_status,extreme
pross refund brp lama,out_of_scope,extreme
stock cchilly berapa,product_stock,medium
frost gmn sih,product_description,medium
Mba mau tany apakah syal musim dingin arctic bliss penuh gaya masih tersedia stoknya ya kak,product_stock,high
Halo spec beanie ??,product_description,medium
Halo beanie habis belum min,product_stock,medium
halo cara refund gimana please,out_of_scope,medium
uang saya kapan dikembalikan,out_of_scope,medium
Byaar ppake apa,payment_info,extreme
halo min mau tanya dong pesanan saya nomor 456 itu udah sampai mana ya,order_status,low
brp musim,product_price,low
kak Jakett Puffer Pria OmniHeat Solid Bertudung sold uot?,product_stock,extreme
lokasi warehouse,out_of_scope,medium
hai warna kenyamanan ada apa aja dong,product_description,medium
Kelebihan bundlee,product_description,medium
Hai permisi kak untuk pembayaran tersedia metode apa saja,payment_info,medium
biaya jacket-blue-green-m,product_price,low
stok sentuh ada,product_stock,medium
terima mandiri tidak,payment_info,low
Gan ada cicilan ga dong,payment_info,medium
Halo omniheat brp duit thx,product_price,low
admin metode byr apa makasih,payment_info,medium
