text,intent,sample_type,noise_level
redy bayar sekarang,payment_info,hard_negative,medium
tolong info detail,product_description,hard_negative,clean
halo support virutal account min,payment_info,generic,medium
Pricey ga omniheat men's solid hooded puffer jacket,product_price,generic,medium
Info harganya dong,product_price,keyword_based,clean
Harga sarung tangan musim dingin arctic layar sentuh berapa,product_price,keyword_based,clean
Masih ada garansi,out_of_scope,hard_negative,low
halo ad stok Arctic Frost Winter Accessories sih,product_stock,keyword_based,high
jaket puffer pria omniheat solid bertudung-biru-kuning-l sold out,product_stock,generic,medium
berapa harga Jaket Puffer Pia OminHeat Solid Bertudung-Biru-Hijau-M,product_price,keyword_based,medium
harga omniheat men's solid hooded puffer jacket-blue-green-m berapa,product_price,keyword_based,clean
mau tau cara cancel,out_of_scope,hard_negative,medium
min alamat toko dmana please,out_of_scope,keyword_based,low
eh jam buka toko sih,out_of_scope,keyword_based,low
Kapan bisa diambil,order_status,hard_negative,clean
mintta info hargaa,product_price,hard_negative,medium
Order ready dikirim belum,order_status,keyword_based,medium
ready bayar ??,payment_info,hard_negative,clean
Eh harga syaal msim dingin arctic bliss penuh gaya gimana thx,product_price,keyword_based,high
min order ready dikirim belum thx,order_status,keyword_based,low
Ready stock jaket puffer pria omniheat solid bertudung-biru-hijau-m,product_stock,keyword_based,low
Tracking pesanan 789,order_status,keyword_based,medium
worth it gitu ga arctic frost winter accessories,product_price,generic,high
Gimana kabar ppesanan,order_status,hard_negative,low
Halo info omniheat men's solid hooded puffer jacket please,product_description,keyword_based,low
Kemahalan ga omniheat men's solid hooded puffer jacket-blue-green-l,product_price,generic,low
Bayra gmn caranya,payment_info,keyword_based,medium
hi harga omniheat men's solid hooded puffer jacket berapa ya,product_price,keyword_based,high
mau tau paket aksesori musim dingin arctic frost,product_description,hard_negative,low
Berapa lama lgi nyampe,order_status,keyword_based,medium
ada masalah,out_of_scope,ambiguous,low
unitnya berapa,product_stock,hard_negative,clean
Arctic Frost Winter Accessories awet ga,product_description,generic,high
Hi info hargganya dong thx,product_price,hard_negative,medium
Discontinue belum arctic bliss stylish winter scarf,product_stock,generic,high
worth it ga Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Kuning-M,product_price,generic,medium
ada update pesanan 1,order_status,keyword_based,clean
import atau lokal OmniHeat Men's Solid Hooded Puffer Jacket-Blue-Green-M,product_description,generic,clean
spesifikasi arctic frost winter accessories bundle,product_description,keyword_based,medium
Review omniheat men's solid hooded puffer jacket-blue-green-m,product_description,generic,low
Kiriman gimana,order_status,hard_negative,low
eh recommended ga Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M thanks,product_description,generic,medium
info order 789,order_status,keyword_based,low
Omniheat men's solid hooded puffer jacket-blue-green-m murah ga,product_price,generic,medium
pake shopeepay bisa,payment_info,generic,clean
cara nya gimana ya,payment_info,generic,medium
itu gimana pesanannya,order_status,hard_negative,medium
langsung kirim bisa paket aksesorri musim dingin arctic frost,product_stock,generic,medium
kapan kirim pesanan,order_status,hard_negative,clean
mau tau hargga kupulk rajut unisex arctic cozy,product_price,hard_negative,medium
jaket puffer pria omniheat solid bertudung-biru-kuning-m tuh apa sih,product_description,generic,clean
deskripsi kupluk rajut unisex arctic cozy,product_description,keyword_based,medium
min worth it ga beli omniheat men's solid hooded puffer jacket-blue-green-m ?,product_description,generic,high
Gan arctic bliss stylish winter scarf habis blm thx,product_stock,generic,high
ibaya admn berapa,payment_info,keyword_based,high
Jaket Puffer Pria OmniHeat Solid Bertudung-Biru-Hijau-M masih ada,product_stock,keyword_based,medium
Kaus kaki campuran wol arctic warmth harganya berapa,product_price,keyword_based,medium
Min berapa eh banyak stok ??,product_stock,keyword_based,medium
Btw ready kan ga syal musim dingin arctic bliss penuh gaya deh,product_stock,keyword_based,high
Ready kirim kupluk rajut unisex arctic cozy,product_stock,hard_negative,medium
mau tukre ukuran,out_of_scope,keyword_based,medium
stk paket aksesori musim dingin arctic frost,product_stock,hard_negative,medium
